Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
1; 3.052820; 0.000143; 0.009680; 0.176705; 1.720616; 0.001849; 1.143723; 32.756596; 0.000103
2; 3.301617; 0.000141; 0.010106; 0.220977; 1.854923; 0.000922; 1.214452; 30.288189; 0.000097
3; 2.996723; 0.000129; 0.008975; 0.197952; 1.932717; 0.000882; 0.856001; 33.369788; 0.000066
4; 2.988472; 0.000144; 0.009936; 0.171868; 1.934320; 0.000959; 0.871159; 33.461916; 0.000086
5; 2.904459; 0.000157; 0.008753; 0.180416; 1.850448; 0.000982; 0.863630; 34.429815; 0.000074
6; 3.039294; 0.000175; 0.009175; 0.176116; 1.961839; 0.001170; 0.890741; 32.902374; 0.000078
7; 3.082514; 0.000136; 0.009473; 0.181179; 1.881392; 0.001084; 1.009161; 32.441058; 0.000089
8; 3.088052; 0.000143; 0.008975; 0.204621; 1.872365; 0.000926; 1.000927; 32.382878; 0.000095
9; 3.155775; 0.000126; 0.008692; 0.217600; 1.795695; 0.000891; 1.132681; 31.687942; 0.000090
10; 3.321356; 0.000131; 0.009366; 0.226481; 1.894877; 0.001087; 1.189312; 30.108182; 0.000102
11; 3.370452; 0.000174; 0.010484; 0.250910; 1.993567; 0.001131; 1.114061; 29.669610; 0.000124
12; 3.403830; 0.000137; 0.009663; 0.236599; 1.889026; 0.001061; 1.267077; 29.378670; 0.000267
13; 3.389098; 0.000154; 0.010453; 0.244081; 1.920382; 0.000921; 1.212996; 29.506375; 0.000111
14; 3.406411; 0.000153; 0.010502; 0.261340; 1.961285; 0.000885; 1.172141; 29.356414; 0.000104
15; 3.387694; 0.000124; 0.009075; 0.238602; 1.857282; 0.000939; 1.281584; 29.518605; 0.000089
16; 3.386587; 0.000132; 0.009693; 0.252338; 1.863262; 0.000963; 1.260095; 29.528254; 0.000104
17; 3.384956; 0.000138; 0.009810; 0.284309; 1.854845; 0.000946; 1.234804; 29.542483; 0.000104
18; 3.393415; 0.000136; 0.010048; 0.249412; 1.873479; 0.001008; 1.259251; 29.468836; 0.000080
19; 3.404208; 0.000134; 0.009593; 0.248782; 2.015495; 0.001015; 1.129099; 29.375411; 0.000088
20; 2.803330; 0.000132; 0.008362; 0.140215; 2.002150; 0.002541; 0.649871; 35.671867; 0.000058
21; 3.090171; 0.000144; 0.008604; 0.207755; 1.965454; 0.001996; 0.906139; 32.360666; 0.000078
22; 3.394386; 0.000134; 0.009950; 0.271656; 1.940039; 0.001108; 1.171397; 29.460406; 0.000102
23; 3.387414; 0.000174; 0.009377; 0.275826; 1.892669; 0.001406; 1.207871; 29.521044; 0.000093
24; 3.389168; 0.000133; 0.009862; 0.257831; 1.911481; 0.001455; 1.208316; 29.505767; 0.000091
25; 3.386961; 0.000151; 0.009821; 0.287595; 1.935043; 0.001373; 1.152875; 29.524997; 0.000101
26; 3.403422; 0.000144; 0.010423; 0.284894; 1.983606; 0.001754; 1.122498; 29.382196; 0.000103
27; 3.405437; 0.000150; 0.009562; 0.228858; 1.994326; 0.002220; 1.170227; 29.364806; 0.000093
28; 3.422640; 0.000137; 0.010213; 0.248378; 2.055609; 0.002093; 1.106119; 29.217214; 0.000090
29; 3.390030; 0.000137; 0.009805; 0.265150; 1.974772; 0.002410; 1.137659; 29.498260; 0.000097
30; 3.406351; 0.000171; 0.009993; 0.228922; 1.925160; 0.002361; 1.239639; 29.356929; 0.000105
31; 3.403997; 0.000133; 0.009041; 0.245660; 1.895701; 0.002293; 1.251061; 29.377232; 0.000108
32; 2.780934; 0.000137; 0.007913; 0.115112; 1.983590; 0.004161; 0.669967; 35.959140; 0.000054
33; 3.423831; 0.000134; 0.009348; 0.231042; 1.862322; 0.001731; 1.319164; 29.207053; 0.000090
34; 3.405941; 0.000137; 0.009786; 0.222010; 1.924145; 0.001438; 1.248322; 29.360460; 0.000105
35; 3.405459; 0.000143; 0.009711; 0.246325; 1.920614; 0.001662; 1.226895; 29.364619; 0.000108
36; 3.424094; 0.000137; 0.010739; 0.219770; 2.159168; 0.002133; 1.032048; 29.204807; 0.000098
37; 3.422539; 0.000128; 0.009111; 0.249720; 1.845599; 0.001622; 1.316263; 29.218074; 0.000096
38; 3.418827; 0.000136; 0.009858; 0.232682; 1.872560; 0.001751; 1.301746; 29.249803; 0.000094
