Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
1; 3.009685; 0.000152; 0.010083; 0.170715; 1.969993; 0.000972; 0.857705; 33.226071; 0.000065
2; 3.109255; 0.000143; 0.011074; 0.164401; 1.973464; 0.001019; 0.959085; 32.162041; 0.000068
3; 3.042143; 0.000133; 0.010196; 0.164877; 1.897423; 0.000938; 0.968521; 32.871566; 0.000055
4; 3.152499; 0.000151; 0.010442; 0.183129; 1.929170; 0.000901; 1.028640; 31.720861; 0.000066
5; 2.972863; 0.000137; 0.009857; 0.172272; 1.898693; 0.000877; 0.890961; 33.637610; 0.000065
6; 2.976930; 0.000125; 0.009516; 0.189768; 1.840696; 0.000750; 0.936013; 33.591649; 0.000062
7; 3.172763; 0.000139; 0.010304; 0.199615; 1.932568; 0.000940; 1.029127; 31.518266; 0.000072
8; 3.275977; 0.000153; 0.010470; 0.221276; 1.907976; 0.000871; 1.135163; 30.525244; 0.000067
9; 3.307942; 0.000146; 0.010197; 0.234132; 1.926945; 0.001018; 1.135439; 30.230277; 0.000064
10; 3.371297; 0.000135; 0.011093; 0.226244; 1.926742; 0.000989; 1.206017; 29.662175; 0.000076
11; 3.386453; 0.000147; 0.011477; 0.232493; 1.998506; 0.001056; 1.142686; 29.529424; 0.000087
12; 3.360561; 0.000136; 0.011550; 0.244962; 1.906109; 0.000899; 1.196830; 29.756933; 0.000075
13; 3.386000; 0.000127; 0.009492; 0.246217; 1.803714; 0.000934; 1.325427; 29.533374; 0.000089
14; 3.370678; 0.000137; 0.010668; 0.235934; 1.924658; 0.000843; 1.198363; 29.667617; 0.000075
15; 3.372323; 0.000128; 0.010293; 0.246713; 1.874640; 0.000994; 1.239479; 29.653154; 0.000076
16; 3.388104; 0.000134; 0.011321; 0.231863; 1.938451; 0.000803; 1.205453; 29.515036; 0.000078
17; 3.403704; 0.000134; 0.010602; 0.248902; 1.988537; 0.000980; 1.154476; 29.379755; 0.000073
18; 3.405619; 0.000156; 0.011063; 0.247999; 2.021030; 0.001004; 1.124295; 29.363236; 0.000072
19; 3.390399; 0.000163; 0.011140; 0.240050; 2.013522; 0.000932; 1.124444; 29.495057; 0.000148
20; 3.121033; 0.000140; 0.009995; 0.206698; 1.985604; 0.001650; 0.916884; 32.040679; 0.000062
21; 3.388156; 0.000143; 0.010449; 0.246450; 1.930035; 0.001081; 1.199925; 29.514580; 0.000072
22; 3.394691; 0.000143; 0.011597; 0.279940; 1.987009; 0.001021; 1.114906; 29.457760; 0.000075
23; 3.378868; 0.000154; 0.011100; 0.261367; 1.972203; 0.001161; 1.132818; 29.595713; 0.000065
24; 3.386488; 0.000165; 0.010880; 0.279050; 1.963852; 0.001167; 1.131300; 29.529118; 0.000073
25; 3.406566; 0.000150; 0.010118; 0.201993; 2.178188; 0.001649; 1.014410; 29.355077; 0.000058
26; 3.396487; 0.000157; 0.011366; 0.259684; 1.976541; 0.001774; 1.146883; 29.442188; 0.000082
27; 3.386873; 0.000143; 0.010571; 0.227486; 1.955687; 0.001972; 1.190921; 29.525758; 0.000093
28; 3.393031; 0.000134; 0.009916; 0.240410; 1.977276; 0.001846; 1.163376; 29.472177; 0.000073
29; 3.411084; 0.000127; 0.009610; 0.215027; 1.933304; 0.002315; 1.250595; 29.316195; 0.000107
30; 3.403357; 0.000151; 0.010043; 0.232037; 1.946773; 0.001657; 1.212614; 29.382752; 0.000081
31; 3.407822; 0.000126; 0.009733; 0.217556; 1.951981; 0.002102; 1.226173; 29.344257; 0.000151
32; 3.405671; 0.000126; 0.009839; 0.251285; 1.952222; 0.001858; 1.190260; 29.362790; 0.000082
33; 3.471547; 0.000134; 0.009266; 0.207400; 2.073670; 0.001723; 1.179280; 28.805599; 0.000074
34; 3.405621; 0.000148; 0.009998; 0.214798; 1.960964; 0.001495; 1.218137; 29.363217; 0.000082
35; 3.405364; 0.000128; 0.009822; 0.226559; 1.983067; 0.001786; 1.183923; 29.365434; 0.000079
36; 3.424206; 0.000133; 0.010098; 0.220872; 1.948934; 0.001500; 1.242595; 29.203851; 0.000074
37; 3.408549; 0.000131; 0.010192; 0.249588; 1.901713; 0.001824; 1.244914; 29.337998; 0.000188
38; 3.406867; 0.000138; 0.009948; 0.219110; 1.898592; 0.001608; 1.277391; 29.352479; 0.000081
39; 3.555451; 0.000170; 0.011127; 0.181742; 2.444497; 0.001722; 0.916108; 28.125831; 0.000086
40; 3.438019; 0.000153; 0.010639; 0.235042; 1.942272; 0.001748; 1.248081; 29.086521; 0.000083
41; 3.433137; 0.000147; 0.010742; 0.224251; 2.116790; 0.002228; 1.078874; 29.127875; 0.000105
42; 3.437714; 0.000133; 0.010408; 0.217311; 2.080743; 0.002520; 1.126510; 29.089102; 0.000089
43; 3.412479; 0.000140; 0.010251; 0.249632; 1.907868; 0.001826; 1.242694; 29.304210; 0.000068
44; 3.442607; 0.000148; 0.010496; 0.252024; 1.915726; 0.001585; 1.262553; 29.047756; 0.000074
45; 3.454285; 0.000138; 0.010524; 0.220084; 2.004773; 0.001422; 1.217263; 28.949552; 0.000080
46; 3.454738; 0.000134; 0.010417; 0.258074; 1.965805; 0.001405; 1.218811; 28.945753; 0.000092
47; 3.473120; 0.000133; 0.010524; 0.220178; 1.958311; 0.001383; 1.282526; 28.792559; 0.000066
48; 3.522510; 0.000140; 0.010571; 0.246746; 2.021216; 0.001551; 1.242080; 28.388847; 0.000207
49; 3.577576; 0.000148; 0.010136; 0.227442; 2.201227; 0.002513; 1.136033; 27.951884; 0.000078
50; 3.604388; 0.000130; 0.011019; 0.266077; 2.023192; 0.001417; 1.302471; 27.743964; 0.000081
51; 3.538499; 0.000156; 0.010371; 0.249846; 1.948838; 0.001233; 1.327985; 28.260573; 0.000070
52; 3.688106; 0.000141; 0.011151; 0.282675; 2.019035; 0.001484; 1.373546; 27.114187; 0.000075
53; 3.865192; 0.000154; 0.011344; 0.245722; 1.979388; 0.001316; 1.627199; 25.871937; 0.000070
54; 4.043189; 0.000145; 0.011129; 0.252168; 1.967544; 0.001181; 1.810944; 24.732953; 0.000078
55; 4.324469; 0.000163; 0.012513; 0.271196; 2.146701; 0.001597; 1.892218; 23.124225; 0.000081
56; 4.554862; 0.000136; 0.010296; 0.253732; 2.183617; 0.001449; 2.105547; 21.954561; 0.000085
57; 4.657595; 0.000144; 0.011278; 0.279285; 1.984307; 0.001266; 2.381247; 21.470309; 0.000068
58; 4.635200; 0.000150; 0.014262; 0.351381; 2.232784; 0.001744; 2.034805; 21.574040; 0.000075
59; 4.759039; 0.000138; 0.008662; 0.270150; 1.817824; 0.001147; 2.661052; 21.012645; 0.000067
60; 4.804966; 0.000119; 0.008304; 0.273081; 1.735841; 0.000839; 2.786719; 20.811800; 0.000064
61; 4.872277; 0.000132; 0.009543; 0.269754; 1.863357; 0.000953; 2.728477; 20.524283; 0.000060
