Lena_240x240_filt_5_sig2_0.750000_enque_times: Average = 57.4579ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_5_sig2_0.750000_finish_times: Average = 5434.6ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_5_sig2_1.200000_enque_times: Average = 32.4267ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_5_sig2_1.200000_finish_times: Average = 4692.2ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_7_sig2_0.750000_enque_times: Average = 22.7556ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_7_sig2_0.750000_finish_times: Average = 8017.93ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_7_sig2_1.200000_enque_times: Average = 126.294ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_7_sig2_1.200000_finish_times: Average = 8750.09ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_9_sig2_0.750000_enque_times: Average = 26.7378ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_9_sig2_0.750000_finish_times: Average = 15581.3ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_9_sig2_1.200000_enque_times: Average = 29.5823ms; Standard Deviation = -nan(ind)
Lena_240x240_filt_9_sig2_1.200000_finish_times: Average = 15594.4ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_5_sig2_0.750000_enque_times: Average = 23.3245ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_5_sig2_0.750000_finish_times: Average = 11374.9ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_5_sig2_1.200000_enque_times: Average = 26.7378ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_5_sig2_1.200000_finish_times: Average = 11563.3ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_7_sig2_0.750000_enque_times: Average = 26.1689ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_7_sig2_0.750000_finish_times: Average = 19051ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_7_sig2_1.200000_enque_times: Average = 49.4934ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_7_sig2_1.200000_finish_times: Average = 19008.3ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_9_sig2_0.750000_enque_times: Average = 26.7378ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_9_sig2_0.750000_finish_times: Average = 34893.4ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_9_sig2_1.200000_enque_times: Average = 26.7378ms; Standard Deviation = -nan(ind)
Lena_367x367_filt_9_sig2_1.200000_finish_times: Average = 35075.5ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_5_sig2_0.750000_enque_times: Average = 28.4445ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_5_sig2_0.750000_finish_times: Average = 21555.2ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_5_sig2_1.200000_enque_times: Average = 28.4445ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_5_sig2_1.200000_finish_times: Average = 21318ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_7_sig2_0.750000_enque_times: Average = 23.8934ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_7_sig2_0.750000_finish_times: Average = 35918.6ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_7_sig2_1.200000_enque_times: Average = 25.6ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_7_sig2_1.200000_finish_times: Average = 36332.1ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_9_sig2_0.750000_enque_times: Average = 23.3245ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_9_sig2_0.750000_finish_times: Average = 67243.9ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_9_sig2_1.200000_enque_times: Average = 53.4756ms; Standard Deviation = -nan(ind)
Lena_512x512_filt_9_sig2_1.200000_finish_times: Average = 66863.9ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_5_sig2_0.750000_enque_times: Average = 30.72ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_5_sig2_0.750000_finish_times: Average = 56857.7ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_5_sig2_1.200000_enque_times: Average = 25.6ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_5_sig2_1.200000_finish_times: Average = 56768.4ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_7_sig2_0.750000_enque_times: Average = 25.6ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_7_sig2_0.750000_finish_times: Average = 96570.2ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_7_sig2_1.200000_enque_times: Average = 25.6ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_7_sig2_1.200000_finish_times: Average = 96709.5ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_9_sig2_0.750000_enque_times: Average = 31.8578ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_9_sig2_0.750000_finish_times: Average = 181413ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_9_sig2_1.200000_enque_times: Average = 26.1689ms; Standard Deviation = -nan(ind)
Lena_850x850_filt_9_sig2_1.200000_finish_times: Average = 180829ms; Standard Deviation = -nan(ind)
